ply
format,ascii,1.0
element,vertex,20480
property,double,x
property,double,y
property,double,z
end_header
1.298764916352966,-0.942938911872701,-1.884098693723002
1.458195406727927,-1.040462373259464,-2.115382103732705
1.420157648758886,-0.995569420208712,-2.060201301418713
1.422236215841052,-0.97924859998234,-2.063216647363937
1.488350434762043,-1.006165670623381,-2.159127548510963
1.486503726213984,-0.986335948472464,-2.156448556247409
1.478760166012393,-0.962713382051219,-2.145215090146746
1.507443282715424,-0.962543835829763,-2.186825255336485
1.513149709698076,-0.947273174427426,-2.195103482972963
1.523501969048165,-0.934710197791023,-2.210121349619186
1.535482837781574,-0.922867253529679,-2.227501815357105
1.535547746868165,-0.903711918833199,-2.227595977990941
1.541723561858553,-0.888075010632221,-2.23655513973727
1.557078554837576,-0.877456425337408,-2.258830396675332
1.561769793045842,-0.860577944181767,-2.265635905254173
1.568560866102846,-0.844713000666687,-2.275487612606731
1.57770589407659,-0.829916525103302,-2.28875416688645
1.587870976535644,-0.815415249765479,-2.303500498837324
1.598644483752687,-0.800964684839103,-2.31912946341657
1.604062105875662,-0.783628285627271,-2.326988726194967
1.605794606227581,-0.764402226937102,-2.329502038349326
1.615879774512054,-0.749004546165091,-2.344132440011323
1.621098616566673,-0.731159889732297,-2.351703335539872
1.624095251501525,-0.712210263543734,-2.356050508685089
1.630572935125048,-0.694668743594369,-2.365447586708802
1.640477801083528,-0.678382515345329,-2.379816426503365
1.648123093036553,-0.660942514365001,-2.390907336336588
1.65107973326941,-0.641489711436351,-2.39519648977028
1.653746938985096,-0.621854157193711,-2.399065764911256
1.662682509530791,-0.604430645159909,-2.412028462456312
1.665712281536954,-0.584710646772389,-2.416423707051553
1.667394959162072,-0.564458875730037,-2.418864742126897
1.671117510469301,-0.544830092454375,-2.424264991215054
1.678474634090541,-0.526247783393798,-2.434937859591621
1.68868645026013,-0.508340886910498,-2.449751987432161
1.691718259427139,-0.488107066290193,-2.454150187305945
1.692593023947047,-0.467202047021,-2.455419195013593
1.701702533820109,-0.448445239648827,-2.468634223719857
